gpa_bin,mcat_bin,applicants,accepted,acceptance_rate,years_pooled,note
<3.00,<490,555,12,0.0216,EY2020-2025,
<3.00,490-494,242,5,0.0207,EY2020-2025,
<3.00,495-499,204,3,0.0147,EY2020-2025,
<3.00,500-504,207,8,0.0386,EY2020-2025,
<3.00,505-509,100,5,0.05,EY2020-2025,
<3.00,510-514,65,7,0.1077,EY2020-2025,
<3.00,515-519,24,3,0.125,EY2020-2025,
<3.00,520+,4,1,,EY2020-2025,low_n (<10)
3.00-3.19,<490,347,5,0.0144,EY2020-2025,
3.00-3.19,490-494,245,2,0.0082,EY2020-2025,
3.00-3.19,495-499,300,13,0.0433,EY2020-2025,
3.00-3.19,500-504,327,36,0.1101,EY2020-2025,
3.00-3.19,505-509,230,28,0.1217,EY2020-2025,
3.00-3.19,510-514,141,21,0.1489,EY2020-2025,
3.00-3.19,515-519,47,8,0.1702,EY2020-2025,
3.00-3.19,520+,16,4,0.25,EY2020-2025,
3.20-3.39,<490,433,12,0.0277,EY2020-2025,
3.20-3.39,490-494,389,7,0.018,EY2020-2025,
3.20-3.39,495-499,526,23,0.0437,EY2020-2025,
3.20-3.39,500-504,664,76,0.1145,EY2020-2025,
3.20-3.39,505-509,601,110,0.183,EY2020-2025,
3.20-3.39,510-514,424,109,0.2571,EY2020-2025,
3.20-3.39,515-519,142,42,0.2958,EY2020-2025,
3.20-3.39,520+,37,12,0.3243,EY2020-2025,
3.40-3.59,<490,378,8,0.0212,EY2020-2025,
3.40-3.59,490-494,536,11,0.0205,EY2020-2025,
3.40-3.59,495-499,820,39,0.0476,EY2020-2025,
3.40-3.59,500-504,1207,232,0.1922,EY2020-2025,
3.40-3.59,505-509,1332,356,0.2673,EY2020-2025,
3.40-3.59,510-514,848,298,0.3514,EY2020-2025,
3.40-3.59,515-519,375,172,0.4587,EY2020-2025,
3.40-3.59,520+,62,43,0.6935,EY2020-2025,
3.60-3.79,<490,291,10,0.0344,EY2020-2025,
3.60-3.79,490-494,489,19,0.0389,EY2020-2025,
3.60-3.79,495-499,1045,88,0.0842,EY2020-2025,
3.60-3.79,500-504,1704,468,0.2746,EY2020-2025,
3.60-3.79,505-509,2300,856,0.3722,EY2020-2025,
3.60-3.79,510-514,1924,886,0.4605,EY2020-2025,
3.60-3.79,515-519,934,538,0.576,EY2020-2025,
3.60-3.79,520+,223,156,0.6996,EY2020-2025,
3.80-3.99,<490,142,7,0.0493,EY2020-2025,
3.80-3.99,490-494,343,29,0.0845,EY2020-2025,
3.80-3.99,495-499,804,119,0.148,EY2020-2025,
3.80-3.99,500-504,1833,782,0.4266,EY2020-2025,
3.80-3.99,505-509,3112,1649,0.5299,EY2020-2025,
3.80-3.99,510-514,3706,2194,0.592,EY2020-2025,
3.80-3.99,515-519,2702,1823,0.6747,EY2020-2025,
3.80-3.99,520+,1160,882,0.7603,EY2020-2025,
4.00,<490,11,1,0.0909,EY2020-2025,
4.00,490-494,25,0,0.0,EY2020-2025,
4.00,495-499,77,14,0.1818,EY2020-2025,
4.00,500-504,211,97,0.4597,EY2020-2025,
4.00,505-509,480,281,0.5854,EY2020-2025,
4.00,510-514,923,596,0.6457,EY2020-2025,
4.00,515-519,1151,838,0.7281,EY2020-2025,
4.00,520+,970,807,0.832,EY2020-2025,
