residency,gpa_bin,mcat_bin,applicants,accepted,acceptance_rate,years_pooled,note
Non Resident,<3.00,<490,109,1,0.0092,EY2020-2025,
Non Resident,<3.00,490-494,49,1,0.0204,EY2020-2025,
Non Resident,<3.00,495-499,52,0,0.0,EY2020-2025,
Non Resident,<3.00,500-504,42,2,0.0476,EY2020-2025,
Non Resident,<3.00,505-509,18,0,0.0,EY2020-2025,
Non Resident,<3.00,510-514,18,1,0.0556,EY2020-2025,
Non Resident,<3.00,515-519,5,0,,EY2020-2025,low_n (<10)
Non Resident,3.00-3.19,<490,74,0,0.0,EY2020-2025,
Non Resident,3.00-3.19,490-494,55,0,0.0,EY2020-2025,
Non Resident,3.00-3.19,495-499,57,3,0.0526,EY2020-2025,
Non Resident,3.00-3.19,500-504,65,1,0.0154,EY2020-2025,
Non Resident,3.00-3.19,505-509,41,0,0.0,EY2020-2025,
Non Resident,3.00-3.19,510-514,36,1,0.0278,EY2020-2025,
Non Resident,3.00-3.19,515-519,11,1,0.0909,EY2020-2025,
Non Resident,3.00-3.19,520+,5,0,,EY2020-2025,low_n (<10)
Non Resident,3.20-3.39,<490,93,1,0.0108,EY2020-2025,
Non Resident,3.20-3.39,490-494,84,1,0.0119,EY2020-2025,
Non Resident,3.20-3.39,495-499,103,1,0.0097,EY2020-2025,
Non Resident,3.20-3.39,500-504,135,2,0.0148,EY2020-2025,
Non Resident,3.20-3.39,505-509,117,2,0.0171,EY2020-2025,
Non Resident,3.20-3.39,510-514,111,6,0.0541,EY2020-2025,
Non Resident,3.20-3.39,515-519,39,3,0.0769,EY2020-2025,
Non Resident,3.20-3.39,520+,8,0,,EY2020-2025,low_n (<10)
Non Resident,3.40-3.59,<490,59,2,0.0339,EY2020-2025,
Non Resident,3.40-3.59,490-494,93,0,0.0,EY2020-2025,
Non Resident,3.40-3.59,495-499,159,0,0.0,EY2020-2025,
Non Resident,3.40-3.59,500-504,219,3,0.0137,EY2020-2025,
Non Resident,3.40-3.59,505-509,271,23,0.0849,EY2020-2025,
Non Resident,3.40-3.59,510-514,198,13,0.0657,EY2020-2025,
Non Resident,3.40-3.59,515-519,98,19,0.1939,EY2020-2025,
Non Resident,3.40-3.59,520+,17,5,0.2941,EY2020-2025,
Non Resident,3.60-3.79,<490,39,1,0.0256,EY2020-2025,
Non Resident,3.60-3.79,490-494,85,1,0.0118,EY2020-2025,
Non Resident,3.60-3.79,495-499,212,1,0.0047,EY2020-2025,
Non Resident,3.60-3.79,500-504,370,16,0.0432,EY2020-2025,
