entry_year,cohort,avg_mcat_total,avg_cpbs,avg_cars,avg_bbfl,avg_psbb,avg_overall_gpa,avg_bcpm_gpa
2016,all_applicants,500.887,122.49,122.334,122.636,122.933,3.506,3.389
2017,all_applicants,504.233,125.138,124.741,125.33,125.455,3.518,3.393
2018,all_applicants,505.227,126.042,125.688,126.313,126.555,3.557,3.41
2019,all_applicants,505.799,126.2,125.803,126.442,126.908,3.572,3.454
2020,all_applicants,506.832,126.553,126.007,126.79,127.282,3.605,3.47
2021,all_applicants,506.366,126.38,125.808,126.688,127.306,3.596,3.49
2022,all_applicants,506.934,126.525,125.909,126.786,127.521,3.619,3.508
2023,all_applicants,506.85,126.478,125.948,126.706,127.51,3.632,3.531
2024,all_applicants,506.676,126.404,125.87,126.65,127.509,3.633,3.529
2025,all_applicants,506.557,126.453,125.77,126.624,127.482,3.641,3.536
2026,all_applicants,506.533,126.43,125.746,126.601,127.48,3.647,3.539
2016,accepted,507.98,117.819,117.475,118.092,118.916,3.678,3.595
2017,accepted,510.392,125.564,124.839,125.748,125.68,3.687,3.587
2018,accepted,511.076,127.434,126.761,127.714,127.884,3.767,3.607
2019,accepted,511.63,127.698,126.969,127.945,128.328,3.788,3.709
2020,accepted,511.588,127.864,126.998,128.062,128.605,3.781,3.644
2021,accepted,512.106,127.932,127.009,128.234,128.875,3.786,3.73
2022,accepted,511.82,127.878,126.884,128.133,128.859,3.797,3.721
2023,accepted,511.52,127.775,126.922,127.984,128.746,3.809,3.746
2024,accepted,511.852,127.876,126.936,128.078,128.846,3.824,3.769
2025,accepted,512.122,128.069,126.853,128.171,128.936,3.84,3.787
2026,accepted,514.311,128.624,127.375,128.669,129.553,3.901,3.866
2016,matriculated,507.182,121.843,121.496,122.14,122.544,3.701,3.627
2017,matriculated,509.064,125.801,125.079,125.995,126.127,3.72,3.615
2018,matriculated,509.834,127.193,126.538,127.475,127.654,3.75,3.624
2019,matriculated,510.778,127.453,126.698,127.708,128.08,3.792,3.715
2020,matriculated,510.728,127.649,126.77,127.848,128.395,3.769,3.649
2021,matriculated,511.387,127.761,126.793,128.052,128.714,3.779,3.723
2022,matriculated,511.725,127.866,126.826,128.111,128.856,3.801,3.724
2023,matriculated,511.29,127.717,126.857,127.932,128.692,3.804,3.74
2024,matriculated,511.473,127.756,126.855,127.975,128.771,3.82,3.763
2025,matriculated,511.744,127.957,126.744,128.073,128.871,3.835,3.78
